zona_urbano_rural,nivel_educativo,nivel_socioeconomico,ingreso_total_hogar,edad_persona,genero,autoidentidad_indigena,tipo_hogar,total_personas_hogar,participa_fuerza_trabajo,pobreza_multidimensional,pobreza_ingreso,codigo_comuna,nombre_comuna,representatividad
1,0,2,2100000.0,0,1,0,3,5,,0.0,3.0,8103,Chiguayante,125
1,0,2,623917.0,0,2,0,3,3,,0.0,3.0,8103,Chiguayante,116
1,0,2,3520137.0,0,2,0,5,5,,0.0,3.0,8103,Chiguayante,100
1,0,2,1100000.0,0,1,0,5,7,,1.0,3.0,8103,Chiguayante,88
1,0,2,441667.0,1,2,0,4,4,,1.0,2.0,8103,Chiguayante,97
1,0,1,1360000.0,1,1,0,3,4,,0.0,3.0,8103,Chiguayante,112
1,0,2,746611.0,1,1,0,3,5,,0.0,3.0,8103,Chiguayante,114
1,0,2,2062500.0,1,2,0,5,5,,0.0,3.0,8103,Chiguayante,117
1,0,3,2296060.0,1,1,0,3,4,,0.0,3.0,8103,Chiguayante,207
1,0,3,3217276.0,1,2,0,3,5,,0.0,3.0,8103,Chiguayante,237
1,0,2,880000.0,1,2,0,3,5,,0.0,3.0,8103,Chiguayante,164
1,0,2,2100000.0,2,2,0,3,5,,0.0,3.0,8103,Chiguayante,124
1,0,2,598514.0,2,1,1,2,4,,0.0,3.0,8103,Chiguayante,100
1,0,3,3845507.0,2,2,0,3,4,,0.0,3.0,8103,Chiguayante,193
1,0,2,1100924.0,2,2,0,5,5,,1.0,3.0,8103,Chiguayante,93
1,0,2,1301361.0,2,2,0,4,5,,0.0,3.0,8103,Chiguayante,99
1,0,1,825554.0,2,1,0,4,3,,0.0,3.0,8103,Chiguayante,214
1,0,3,5310000.0,2,2,0,3,3,,0.0,3.0,8103,Chiguayante,505
1,0,2,529000.0,2,2,0,3,3,,0.0,3.0,8103,Chiguayante,133
1,0,2,3256500.0,2,2,0,3,5,,0.0,3.0,8103,Chiguayante,113
1,0,3,1671393.0,2,1,0,5,5,,0.0,3.0,8103,Chiguayante,185
1,0,2,493333.0,2,2,0,2,4,,0.0,2.0,8103,Chiguayante,95
1,0,2,1158152.0,3,1,0,5,7,,1.0,3.0,8103,Chiguayante,21
1,0,3,1700000.0,3,1,0,2,2,,0.0,3.0,8103,Chiguayante,216
1,0,2,795900.0,3,1,0,5,4,,0.0,3.0,8103,Chiguayante,95
1,0,1,3984166.0,3,1,1,5,8,,0.0,3.0,8103,Chiguayante,201
1,0,2,1416386.0,3,1,0,3,4,,0.0,3.0,8103,Chiguayante,103
1,0,3,2765000.0,3,2,0,3,3,,0.0,3.0,8103,Chiguayante,236
1,0,3,3217276.0,3,1,0,3,5,,0.0,3.0,8103,Chiguayante,237
1,0,3,16450000.0,3,2,0,3,5,,0.0,3.0,8103,Chiguayante,162
1,0,2,880000.0,3,2,0,3,5,,0.0,3.0,8103,Chiguayante,164
1,0,2,2260583.0,3,2,0,5,8,,0.0,3.0,8103,Chiguayante,79
1,0,2,1716667.0,3,2,0,3,4,,0.0,3.0,8103,Chiguayante,149
1,0,2,797549.0,4,1,0,2,3,,0.0,3.0,8103,Chiguayante,110
1,0,3,1997118.0,4,2,0,2,3,,0.0,3.0,8103,Chiguayante,197
1,0,2,2400000.0,4,2,0,3,3,,0.0,3.0,8103,Chiguayante,324
1,0,2,1818423.0,4,2,0,4,8,,0.0,3.0,8103,Chiguayante,82
1,0,1,610775.0,4,1,0,2,3,,0.0,3.0,8103,Chiguayante,227
1,0,1,930000.0,4,2,1,3,4,,0.0,3.0,8103,Chiguayante,89
1,0,2,1440000.0,4,1,0,4,4,,0.0,3.0,8103,Chiguayante,93
1,0,1,844257.0,4,1,0,4,5,,1.0,3.0,8103,Chiguayante,108
1,0,2,2860000.0,4,1,1,3,4,,0.0,3.0,8103,Chiguayante,113
1,0,3,5160833.0,4,1,0,3,4,,0.0,3.0,8103,Chiguayante,224
1,0,1,2108333.0,4,1,0,3,3,,0.0,3.0,8103,Chiguayante,132
1,0,2,1645500.0,4,1,0,5,5,,1.0,3.0,8103,Chiguayante,132
1,0,2,700000.0,4,2,0,3,5,,0.0,3.0,8103,Chiguayante,112
1,0,2,952667.0,4,2,0,2,2,,0.0,3.0,8103,Chiguayante,126
1,0,2,767736.0,4,2,0,4,4,,0.0,3.0,8103,Chiguayante,104
1,0,2,9000000.0,5,1,0,3,4,,0.0,3.0,8103,Chiguayante,112
1,0,2,598514.0,5,1,1,2,4,,0.0,3.0,8103,Chiguayante,101
1,0,3,2176960.0,5,1,0,3,3,,0.0,3.0,8103,Chiguayante,132
1,0,3,1793178.0,5,1,0,5,8,,0.0,3.0,8103,Chiguayante,94
1,0,3,4050000.0,5,2,0,3,3,,0.0,3.0,8103,Chiguayante,198
1,0,3,16450000.0,5,2,0,3,5,,0.0,3.0,8103,Chiguayante,162
1,0,2,1081612.0,6,2,0,4,3,,0.0,3.0,8103,Chiguayante,73
1,0,2,1834109.0,6,1,0,5,7,,,3.0,8103,Chiguayante,91
1,0,3,1570000.0,6,2,0,2,3,,0.0,3.0,8103,Chiguayante,110
1,1,2,1301361.0,6,2,0,4,5,,0.0,3.0,8103,Chiguayante,98
1,0,2,1350000.0,6,2,0,5,5,,1.0,3.0,8103,Chiguayante,100
1,0,2,2900000.0,6,1,0,3,4,,0.0,3.0,8103,Chiguayante,135
1,0,2,2315000.0,6,1,0,5,6,,0.0,3.0,8103,Chiguayante,111
1,1,1,970000.0,6,2,0,3,4,,0.0,3.0,8103,Chiguayante,88
1,0,2,3256500.0,6,2,0,3,5,,0.0,3.0,8103,Chiguayante,112
1,0,2,800823.0,6,2,0,3,4,,0.0,3.0,8103,Chiguayante,95
2,0,2,775845.0,6,1,0,3,3,,0.0,3.0,8103,Chiguayante,3
1,1,2,700000.0,6,2,0,3,5,,0.0,3.0,8103,Chiguayante,112
1,1,2,1518675.0,7,2,1,5,6,,0.0,3.0,8103,Chiguayante,108
1,1,2,598514.0,7,2,1,2,4,,0.0,3.0,8103,Chiguayante,101
1,1,3,3845507.0,7,1,0,3,4,,0.0,3.0,8103,Chiguayante,193
1,1,2,950857.0,7,2,0,4,6,,0.0,3.0,8103,Chiguayante,78
1,1,2,2978582.0,7,2,0,3,5,,0.0,3.0,8103,Chiguayante,86
1,1,3,4050000.0,7,1,0,3,5,,0.0,3.0,8103,Chiguayante,328
1,1,2,466508.0,7,2,0,3,4,,0.0,2.0,8103,Chiguayante,88
1,1,2,746611.0,7,2,1,3,5,,0.0,3.0,8103,Chiguayante,113
1,1,2,1440000.0,7,2,0,4,4,,0.0,3.0,8103,Chiguayante,93
1,1,2,559030.0,7,1,0,3,4,,0.0,2.0,8103,Chiguayante,95
1,1,2,800000.0,7,1,0,3,5,,0.0,3.0,8103,Chiguayante,86
1,1,2,815861.0,7,1,0,4,3,,0.0,3.0,8103,Chiguayante,82
1,1,2,2228667.0,7,2,0,5,9,,0.0,3.0,8103,Chiguayante,120
1,1,3,1997118.0,8,2,0,2,3,,0.0,3.0,8103,Chiguayante,197
1,1,2,3786666.0,8,1,0,5,8,,0.0,3.0,8103,Chiguayante,79
1,1,1,1360000.0,8,2,0,3,4,,0.0,3.0,8103,Chiguayante,112
1,1,1,1275575.0,8,1,0,2,3,,0.0,3.0,8103,Chiguayante,75
1,1,3,5160833.0,8,2,0,3,4,,0.0,3.0,8103,Chiguayante,223
1,1,2,700000.0,8,2,0,2,3,,0.0,3.0,8103,Chiguayante,86
1,1,2,880000.0,8,1,0,3,5,,0.0,3.0,8103,Chiguayante,164
1,1,2,2228667.0,8,1,1,5,9,,0.0,3.0,8103,Chiguayante,121
1,1,2,797549.0,9,2,0,2,3,,0.0,3.0,8103,Chiguayante,110
1,1,2,923334.0,9,1,0,3,5,,0.0,3.0,8103,Chiguayante,239
1,1,3,4050000.0,9,1,0,3,5,,0.0,3.0,8103,Chiguayante,328
1,1,3,1793178.0,9,2,0,5,8,,0.0,3.0,8103,Chiguayante,94
1,1,2,2900000.0,9,2,0,3,4,,0.0,3.0,8103,Chiguayante,135
1,1,1,2404724.0,9,2,0,4,5,,0.0,3.0,8103,Chiguayante,83
1,1,2,1956786.0,9,2,0,3,5,,0.0,3.0,8103,Chiguayante,159
1,1,2,800000.0,9,2,0,3,5,,0.0,3.0,8103,Chiguayante,86
1,1,2,1518675.0,10,2,1,5,6,,0.0,3.0,8103,Chiguayante,107
1,1,2,9000000.0,10,2,0,3,4,,0.0,3.0,8103,Chiguayante,113
1,1,2,619774.0,10,2,1,4,5,,0.0,2.0,8103,Chiguayante,75
1,1,2,1834109.0,10,2,0,5,7,,,3.0,8103,Chiguayante,90
1,0,1,610875.0,10,1,0,2,2,,0.0,3.0,8103,Chiguayante,161
1,1,3,1793178.0,10,2,0,5,8,,0.0,3.0,8103,Chiguayante,95
1,1,1,970000.0,10,1,0,3,4,,0.0,3.0,8103,Chiguayante,88
1,1,2,1416386.0,10,2,0,3,4,,0.0,3.0,8103,Chiguayante,104
1,1,2,3256500.0,10,1,0,3,5,,0.0,3.0,8103,Chiguayante,112
1,1,2,1082232.0,10,2,0,4,3,,0.0,3.0,8103,Chiguayante,79
1,1,2,921813.0,10,1,0,2,3,,0.0,3.0,8103,Chiguayante,74
1,1,3,2296060.0,10,1,0,3,4,,0.0,3.0,8103,Chiguayante,207
1,1,2,600000.0,10,2,0,3,6,,0.0,2.0,8103,Chiguayante,104
1,1,1,507826.0,10,2,0,2,5,,1.0,2.0,8103,Chiguayante,86
1,1,2,555702.0,10,2,0,2,2,,0.0,3.0,8103,Chiguayante,95
1,1,1,454104.0,10,1,0,2,2,,0.0,3.0,8103,Chiguayante,72
1,1,2,1716667.0,10,2,0,3,4,,0.0,3.0,8103,Chiguayante,150
1,1,1,908000.0,11,2,0,4,3,,1.0,3.0,8103,Chiguayante,78
1,1,3,1570000.0,11,1,0,2,3,,0.0,3.0,8103,Chiguayante,109
1,1,3,400000.0,11,1,0,2,2,,0.0,3.0,8103,Chiguayante,107
1,1,2,950857.0,11,1,0,4,6,,0.0,3.0,8103,Chiguayante,77
1,1,2,1980000.0,11,1,0,3,4,,0.0,3.0,8103,Chiguayante,79
1,1,2,1818423.0,11,1,0,4,8,,0.0,3.0,8103,Chiguayante,82
1,1,2,1213785.0,11,1,0,3,3,,0.0,3.0,8103,Chiguayante,112
1,1,1,400000.0,11,2,0,2,2,,0.0,3.0,8103,Chiguayante,175
1,1,3,2050000.0,11,2,0,4,4,,1.0,3.0,8103,Chiguayante,326
1,1,3,2850000.0,11,1,0,4,3,,0.0,3.0,8103,Chiguayante,327
1,1,1,930000.0,11,1,1,3,4,,0.0,3.0,8103,Chiguayante,89
1,1,3,2753333.0,11,1,0,5,4,,0.0,3.0,8103,Chiguayante,180
1,1,2,2729721.0,11,2,0,3,3,,0.0,3.0,8103,Chiguayante,131
1,1,2,1733192.0,11,1,1,3,6,,0.0,3.0,8103,Chiguayante,82
1,1,2,574917.0,11,1,0,4,4,,1.0,3.0,8103,Chiguayante,70
1,1,1,564437.0,11,1,1,3,4,,0.0,2.0,8103,Chiguayante,88
1,1,2,1250000.0,12,2,0,3,4,,0.0,3.0,8103,Chiguayante,93
1,1,3,2450000.0,12,2,0,3,3,,0.0,3.0,8103,Chiguayante,140
1,1,2,3786666.0,12,1,0,5,8,,0.0,3.0,8103,Chiguayante,79
1,1,2,992340.0,12,1,0,2,4,,0.0,3.0,8103,Chiguayante,84
1,2,3,4050000.0,12,1,0,3,5,,0.0,3.0,8103,Chiguayante,327
